update thummbnail kuis
judul, link gambar
Teknik Ninja dan Desa Konoha, https://sin1.contabostorage.com/adef61e95f524badb0b95b15d2c793b7:portal/media/61014/pubg-mobile-x-naruto-shippuden-resmi-hadir-update-versi-45-bawa-desa-konoha-dan-jurus-ninja-20260704141625.png
Belajar Nihongo dari Nol hingga Percakapan, https://filebroker-cdn.lazada.co.id/kf/Se18785be0bc44105b90294ec58368b6a0.jpg
Gadget Teknologi Buatan Negeri Matahari Terbit, https://i.ytimg.com/vi/_2u5n6mwj_o/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBJdMunx69hNHTSSg17dBmDHaNKVw
Destinasi Wisata Populer Seluruh Nippon, https://cdn1-production-images-kly.akamaized.net/7HME4SYSoieJ9wgXjIzyGdGJTE4=/0x751:4032x3023/1280x720/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3437032/original/054059600_1619098081-000_98H99V.jpg
Manga Ikonik dari Shonen Jump, https://image.idntimes.com/post/20240427/my-hero-academia-chapter-394-color-spread-5912c0e5c62dc8bd055c353c53a3159f-0aaa26f2fa8e09095059af4be12b08e1.jpg
Budaya Kerja dan Omotenashi di Jepang, https://static.wixstatic.com/media/cada72_38c3c20a409d4a3d8b772f1f76946b3e~mv2.jpeg/v1/fill/w_568,h_320,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/cada72_38c3c20a409d4a3d8b772f1f76946b3e~mv2.jpeg
Film Ikonik Hayao Miyazaki, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpcyBdIyt3K5MdxRqB4ePUVCLzR2w-pDj3VwZVFAMk9ngYmjKDPpE6YhAJ&s=10
Elektronik Jepang dari Walkman ke Robot, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3E6jaJexcWaQfTwww6dfkbGgVSPYu9AtfXALm7nXu0Ul-3DA69sZCTODG&s=10
Shinkansen serta Kota-Kota Wisata, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZ_GzMQrCtyHu3peTPFizB2IV26rNeexOtCCCxTx30LuH3AhbTpPjWKbyu&s=10
Death Note dan Dunia Shinigami, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTH9D0IN22zsuE_EXVLP8EI-TDwPK1N1CXWldTTR7GdDA&s=10
Etika Filosofi Wabi-Sabi hingga Kaizen, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRu0KG29_TF0JjS6KVpTm2G7096MnT05XyCMx_FRtW4BkYMA2LJTzYyS8U&s=10
Pahlawan Shonen dan Teknik Rasengan, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwkUoYcFYmRMYcNw3wxyoKoikZqCW8dzTg6eGJbwZEbPWwwBJM9WwHRVw&s=10
Nintendo Switch dan Dunia Gaming Jepang, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMRD8_cYsS-igwmd08CRhyxXIDsAcN2Jho1eUvw7VVHCf7OM-jjKx1dTc&s=10
Arashiyama Bamboo Grove serta Wisata Alam, https://ik.imagekit.io/tvlk/blog/2025/03/arashiyama-bamboo-forest-mobile.jpg
Berserk dan Manga Seinen Legendaris, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYBuHtrP4O5gbzdCSA4nf-x8DRCNrxKR_tj5ZnWq2Ft8e2aY6v78ejTTo&s=10
Matsuri Kehidupan Sehari-hari di Jepang, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQk8UX8z9oC3WakdE5TQF91mTs-Sb5yLaHJ9xWCL5vwtC_ShwOTY_nJLTw&s=10
Karakter Anime Legendaris Sepanjang Masa, https://cdn1-production-images-kly.akamaized.net/cVvMSwsLmHLSXerdXRxfYx8716k=/1200x675/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3943587/original/055214500_1645616080-2623519616.jpg
Katakana Kanji untuk Pemula Nihongo, https://s3-eu-central-1.amazonaws.com/glossika-blog/2022/08/JapaneseAlphabet_Katakana.png
Toyota Hybrid dan Inovasi Otomotif, https://d1g6w7sntckt92.cloudfront.net/public/icm_news/2025/10/01/eff6d42b6715157e1768d39831387439.jpg
Gunung Fuji serta Akses dari Tokyo, https://rimage.gnst.jp/livejapan.com/public/article/detail/a/00/00/a0000005/img/basic/a0000005_main.jpg
One Piece dan Petualangan Luffy, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvKdZmI7CT3D8AA7ZmU-Fz0OdBYe8dzwuFHxCNZGXBIdLcHGmF5Rv9DKw&s=10
Soba Yakitori serta Masakan Jalanan, https://www.glorimelamine.com/wp-content/uploads/beef-yakitori-full.jpg
Onsen Omotenashi dan Tradisi Nippon, https://antaraya.co.id/wp-content/uploads/2023/06/onsen-79d1a23f1492d90e72b43ecc89ad7f05.jpg
Studio Ghibli dan Spirited Away, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3U_05vGotHsPuB7kmSwqZLx_AgfF0hIb-b51IzubDRj1KzJfS0Y8vBhXB&s=10
